Date,Type,Loss,LNum,Win,WNum,Amount,Volume,Avg,CumLoss,CumWin,Psh,PnL,CumPnL,TradeVol,Opening,LPsh,WPsh
2023-06-02,Y,-53300.0,74.0,7280.0,47.0,604818020.0,8183.0,6927.76,-714040.0,1037280.0,,-46020.0,323240.0,238.0,117.0,-72.0,15.0
2023-06-05,Y,-74180.0,102.0,26940.0,58.0,625136300.0,8472.0,7030.55,-788220.0,1064220.0,,-47240.0,276000.0,289.0,129.0,-73.0,46.0
2023-06-06,Y,-540.0,3.0,59020.0,109.0,642932600.0,8726.0,7006.42,-788760.0,1123240.0,,58480.0,334480.0,254.0,142.0,-18.0,54.0
2023-06-07,Y,-33540.0,51.0,70120.0,156.0,666525780.0,9061.0,7042.74,-822300.0,1193360.0,,36580.0,371060.0,335.0,128.0,-66.0,45.0
2023-06-08,Y,-7760.0,49.0,4220.0,40.0,680605060.0,9262.0,7004.62,-830060.0,1197580.0,,-3540.0,367520.0,201.0,112.0,-16.0,11.0
2023-06-09,Y,-5040.0,20.0,76160.0,143.0,705391560.0,9611.0,7102.15,-835100.0,1273740.0,,71120.0,438640.0,349.0,186.0,-25.0,53.0
2023-06-12,Y,-12540.0,45.0,22780.0,87.0,721151680.0,9829.0,7229.41,-847640.0,1296520.0,,10240.0,448880.0,218.0,86.0,-28.0,26.0
2023-06-13,Y,-1380.0,3.0,9560.0,35.0,732998940.0,9994.0,7180.16,-849020.0,1306080.0,,8180.0,457060.0,165.0,127.0,-46.0,27.0
2023-06-14,Y,-94720.0,82.0,,,745189840.0,10161.0,7299.94,-943740.0,1306080.0,,-94720.0,362340.0,167.0,85.0,-115.0,0.0
2023-06-15,Y,-46300.0,113.0,1440.0,6.0,760755480.0,10373.0,7342.28,-990040.0,1307520.0,,-44860.0,317480.0,212.0,93.0,-41.0,24.0
2023-06-16,Y,-92220.0,120.0,4020.0,25.0,778359360.0,10606.0,7555.31,-1082260.0,1311540.0,,-88200.0,229280.0,233.0,88.0,-77.0,16.0
2023-06-19,Y,-11940.0,79.0,34540.0,80.0,808715400.0,10998.0,7743.89,-1094200.0,1346080.0,,22600.0,251880.0,392.0,233.0,-15.0,43.0
2023-06-20,Y,-66380.0,264.0,4120.0,35.0,853331080.0,11572.0,7772.77,-1160580.0,1350200.0,,-62260.0,189620.0,574.0,275.0,-25.0,12.0
2023-06-21,Y,-88620.0,58.0,31560.0,59.0,871058600.0,11804.0,7641.17,-1249200.0,1381760.0,,-57060.0,132560.0,232.0,115.0,-153.0,53.0
2023-06-26,Y,-8580.0,22.0,63340.0,72.0,881467620.0,11940.0,7653.69,-1257780.0,1445100.0,,54760.0,187320.0,136.0,42.0,-39.0,88.0
2023-06-27,Y,-13680.0,42.0,11620.0,43.0,895234780.0,12119.0,7691.15,-1271460.0,1456720.0,,-2060.0,185260.0,179.0,94.0,-33.0,27.0
2023-06-28,Y,-14140.0,16.0,52380.0,40.0,904638860.0,12242.0,7645.59,-1285600.0,1509100.0,,38240.0,223500.0,123.0,67.0,-88.0,131.0
2023-06-29,Y,-11960.0,46.0,7720.0,32.0,917975880.0,12416.0,7664.95,-1297560.0,1516820.0,,-4240.0,219260.0,174.0,96.0,-26.0,24.0
2023-06-30,Y,-4540.0,17.0,10740.0,40.0,929092660.0,12560.0,7719.99,-1302100.0,1527560.0,,6200.0,225460.0,144.0,87.0,-27.0,27.0
2023-07-03,Y,-10480.0,50.0,249820.0,165.0,961795140.0,12969.0,7995.72,-1312580.0,1777380.0,,239340.0,464800.0,409.0,194.0,-21.0,151.0
2023-07-04,Y,-11620.0,59.0,36820.0,70.0,981740740.0,13215.0,8107.97,-1324200.0,1814200.0,,25200.0,490000.0,246.0,117.0,-20.0,53.0
2023-07-05,Y,-13360.0,45.0,55400.0,86.0,1000676080.0,13449.0,8092.03,-1337560.0,1869600.0,,42040.0,532040.0,234.0,103.0,-30.0,64.0
2023-07-06,Y,-14640.0,58.0,6900.0,18.0,1012753780.0,13598.0,8105.84,-1352200.0,1876500.0,,-7740.0,524300.0,149.0,73.0,-25.0,38.0
2023-07-07,Y,-4880.0,33.0,12360.0,30.0,1028735880.0,13797.0,8031.21,-1357080.0,1888860.0,,7480.0,531780.0,199.0,136.0,-15.0,41.0
2023-07-10,Y,-32760.0,135.0,17220.0,96.0,1060581200.0,14195.0,8001.34,-1389840.0,1906080.0,,-15540.0,516240.0,398.0,167.0,-24.0,18.0
2023-07-11,Y,-28680.0,56.0,29480.0,61.0,1082790680.0,14469.0,8105.65,-1418520.0,1935560.0,,800.0,517040.0,274.0,157.0,-51.0,48.0
2023-07-12,Y,-32700.0,55.0,12780.0,28.0,1095387360.0,14625.0,8074.79,-1451220.0,1948340.0,,-19920.0,497120.0,156.0,73.0,-59.0,46.0
2023-07-13,Y,-33060.0,92.0,51440.0,64.0,1119385520.0,14925.0,7999.39,-1484280.0,1999780.0,,18380.0,515500.0,300.0,144.0,-36.0,80.0
2023-07-14,Y,,,54540.0,55.0,1129059320.0,15045.0,8061.5,-1484280.0,2054320.0,,54540.0,570040.0,120.0,65.0,0.0,99.0
2023-07-17,Y,-34080.0,89.0,44280.0,88.0,1154300620.0,15358.0,8064.31,-1518360.0,2098600.0,,10200.0,580240.0,313.0,136.0,-38.0,50.0
2023-07-18,Y,-11420.0,35.0,4560.0,14.0,1162988880.0,15466.0,8044.69,-1529780.0,2103160.0,,-6860.0,573380.0,108.0,59.0,-33.0,33.0
2023-07-19,Y,-6700.0,36.0,17620.0,52.0,1180845740.0,15686.0,8116.75,-1536480.0,2120780.0,,10920.0,584300.0,220.0,132.0,-19.0,34.0
